1;WorldCCBonn
2;EMKA-Verbrauchermarkt
3;WorldCCBonn
4;WorldCCBonn
5;Asklepios-Kinderklinik
6;EMKA-Verbrauchermarkt
7;WorldCCBonn
8;Asklepios-Kinderklinik
9;EMKA-Verbrauchermarkt
10;EMKA-Verbrauchermarkt
11;EMKA-Verbrauchermarkt
12;Asklepios-Kinderklinik
13;WorldCCBonn
14;WorldCCBonn
15;EMKA-Verbrauchermarkt
16;EMKA-Verbrauchermarkt
17;Asklepios-Kinderklinik
18;WorldCCBonn
19;EMKA-Verbrauchermarkt
20;Asklepios-Kinderklinik
21;WorldCCBonn
22;WorldCCBonn
23;WorldCCBonn
24;Asklepios-Kinderklinik
25;EMKA-Verbrauchermarkt
26;EMKA-Verbrauchermarkt
27;Asklepios-Kinderklinik
28;Asklepios-Kinderklinik
29;WorldCCBonn
30;EMKA-Verbrauchermarkt
31;WorldCCBonn
32;WorldCCBonn
33;EMKA-Verbrauchermarkt
34;WorldCCBonn
35;Asklepios-Kinderklinik
36;Asklepios-Kinderklinik
37;WorldCCBonn
38;WorldCCBonn
39;EMKA-Verbrauchermarkt
40;EMKA-Verbrauchermarkt
41;EMKA-Verbrauchermarkt
42;Asklepios-Kinderklinik
43;Asklepios-Kinderklinik
44;EMKA-Verbrauchermarkt
45;Asklepios-Kinderklinik
46;EMKA-Verbrauchermarkt
47;EMKA-Verbrauchermarkt
48;EMKA-Verbrauchermarkt
49;EMKA-Verbrauchermarkt
50;EMKA-Verbrauchermarkt
51;EMKA-Verbrauchermarkt
52;Asklepios-Kinderklinik
53;WorldCCBonn
54;EMKA-Verbrauchermarkt
55;WorldCCBonn
56;EMKA-Verbrauchermarkt
57;WorldCCBonn
58;Asklepios-Kinderklinik
59;Asklepios-Kinderklinik
60;Asklepios-Kinderklinik
61;EMKA-Verbrauchermarkt
62;Asklepios-Kinderklinik
63;EMKA-Verbrauchermarkt
64;Asklepios-Kinderklinik
65;WorldCCBonn
66;Asklepios-Kinderklinik
67;EMKA-Verbrauchermarkt
68;EMKA-Verbrauchermarkt
69;Asklepios-Kinderklinik
70;Asklepios-Kinderklinik
71;EMKA-Verbrauchermarkt
72;Asklepios-Kinderklinik
73;Asklepios-Kinderklinik
74;Asklepios-Kinderklinik
75;WorldCCBonn
76;EMKA-Verbrauchermarkt
77;EMKA-Verbrauchermarkt
78;EMKA-Verbrauchermarkt
79;EMKA-Verbrauchermarkt
80;EMKA-Verbrauchermarkt
81;EMKA-Verbrauchermarkt
82;EMKA-Verbrauchermarkt
83;Asklepios-Kinderklinik
84;EMKA-Verbrauchermarkt
85;WorldCCBonn
86;WorldCCBonn
87;WorldCCBonn
88;WorldCCBonn
89;Asklepios-Kinderklinik
90;EMKA-Verbrauchermarkt
91;Asklepios-Kinderklinik
92;EMKA-Verbrauchermarkt
93;WorldCCBonn
94;WorldCCBonn
95;WorldCCBonn
96;EMKA-Verbrauchermarkt
97;Asklepios-Kinderklinik
98;Asklepios-Kinderklinik
99;WorldCCBonn
100;Asklepios-Kinderklinik
101;WorldCCBonn
102;WorldCCBonn
103;WorldCCBonn
104;EMKA-Verbrauchermarkt
105;Asklepios-Kinderklinik
106;WorldCCBonn
107;Asklepios-Kinderklinik
108;EMKA-Verbrauchermarkt
109;EMKA-Verbrauchermarkt
110;Asklepios-Kinderklinik
111;EMKA-Verbrauchermarkt
112;EMKA-Verbrauchermarkt
113;Asklepios-Kinderklinik
114;EMKA-Verbrauchermarkt
115;Asklepios-Kinderklinik
116;WorldCCBonn
117;WorldCCBonn
118;EMKA-Verbrauchermarkt
119;Asklepios-Kinderklinik
120;Asklepios-Kinderklinik
121;Asklepios-Kinderklinik
122;Asklepios-Kinderklinik
123;EMKA-Verbrauchermarkt
124;Asklepios-Kinderklinik
125;WorldCCBonn
126;WorldCCBonn
127;EMKA-Verbrauchermarkt
128;Asklepios-Kinderklinik
129;EMKA-Verbrauchermarkt
130;Asklepios-Kinderklinik
131;EMKA-Verbrauchermarkt
132;EMKA-Verbrauchermarkt
133;EMKA-Verbrauchermarkt
134;Asklepios-Kinderklinik
135;EMKA-Verbrauchermarkt
136;Asklepios-Kinderklinik
137;Asklepios-Kinderklinik
