Asklepios-Kinderklinik;0,5;45
Asklepios-Kinderklinik;0,93;84
Asklepios-Kinderklinik;0,21;19
Asklepios-Kinderklinik;0,41;37
Asklepios-Kinderklinik;0,85;77
Asklepios-Kinderklinik;0,72;65
Asklepios-Kinderklinik;0,79;71
Asklepios-Kinderklinik;0,67;60
Asklepios-Kinderklinik;0,4;36
Asklepios-Kinderklinik;0,22;20
Asklepios-Kinderklinik;0,36;32
Asklepios-Kinderklinik;0,66;59
Asklepios-Kinderklinik;0,74;67
Asklepios-Kinderklinik;0,08;7
Asklepios-Kinderklinik;0,45;41
Asklepios-Kinderklinik;0,22;20
Asklepios-Kinderklinik;0,91;82
Asklepios-Kinderklinik;0,23;21
Asklepios-Kinderklinik;0,68;61
Asklepios-Kinderklinik;0,18;16
Asklepios-Kinderklinik;0,09;8
Asklepios-Kinderklinik;0,31;28
Asklepios-Kinderklinik;0,54;49
Asklepios-Kinderklinik;0,42;38
Asklepios-Kinderklinik;0,9;81
Asklepios-Kinderklinik;0,02;2
EMKA-Verbrauchermarkt;0,11;10
EMKA-Verbrauchermarkt;0,37;33
EMKA-Verbrauchermarkt;0,61;55
EMKA-Verbrauchermarkt;0,24;22
EMKA-Verbrauchermarkt;0,55;50
EMKA-Verbrauchermarkt;0,14;13
EMKA-Verbrauchermarkt;0,73;66
EMKA-Verbrauchermarkt;0,17;15
EMKA-Verbrauchermarkt;0,41;37
EMKA-Verbrauchermarkt;0,9;81
EMKA-Verbrauchermarkt;0,24;22
EMKA-Verbrauchermarkt;0,49;44
EMKA-Verbrauchermarkt;0,51;46
EMKA-Verbrauchermarkt;0,45;41
EMKA-Verbrauchermarkt;0,19;17
EMKA-Verbrauchermarkt;0,07;6
EMKA-Verbrauchermarkt;0,58;52
EMKA-Verbrauchermarkt;0,16;14
EMKA-Verbrauchermarkt;0,2;18
EMKA-Verbrauchermarkt;0,76;68
EMKA-Verbrauchermarkt;0,11;10
EMKA-Verbrauchermarkt;0,36;32
EMKA-Verbrauchermarkt;0,43;39
WorldCCBonn;0,76;68
WorldCCBonn;0,33;30
WorldCCBonn;0,33;30
WorldCCBonn;0,85;77
WorldCCBonn;0,87;78
WorldCCBonn;0,89;80
WorldCCBonn;0,97;87
WorldCCBonn;0,71;64
WorldCCBonn;0,19;17
WorldCCBonn;0,17;15
WorldCCBonn;0,44;40
WorldCCBonn;0,6;54
WorldCCBonn;0,64;58
WorldCCBonn;0,7;63
WorldCCBonn;0,61;55
WorldCCBonn;0,44;40
WorldCCBonn;0,88;79
WorldCCBonn;0,07;6
WorldCCBonn;0,66;59
WorldCCBonn;0,17;15
WorldCCBonn;0,15;14
WorldCCBonn;0,42;38
WorldCCBonn;0,03;3
WorldCCBonn;0,59;53
WorldCCBonn;0,1;9
WorldCCBonn;0,98;88
WorldCCBonn;0,23;21
WorldCCBonn;0,1;9
WorldCCBonn;0,34;31
WorldCCBonn;0,75;68
WorldCCBonn;0,38;34
WorldCCBonn;0,5;45
WorldCCBonn;0,01;1
WorldCCBonn;0,76;68
WorldCCBonn;0,15;14
WorldCCBonn;0;0
WorldCCBonn;0,71;64
WorldCCBonn;0,7;63
WorldCCBonn;0,35;32
WorldCCBonn;0,37;33
WorldCCBonn;0,3;27
